time/total_timesteps,time/iterations,time/time_elapsed,train/reward,time/fps,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/std,train/value_loss,train/n_updates,train/approx_kl,train/explained_variance
75776,37,365,0.4441397,207,-37.78929214477539,-0.012901387910824269,0.06181640625,0.00025,23.246274948120117,0.2,1.0354292392730713,83.4156287431717,360,0.008672443,0.3123363256454468
77824,38,374,0.668343,208,-37.806145548820496,-0.017493774075410327,0.221630859375,0.00025,7.729045867919922,0.2,1.036515474319458,15.26408447623253,370,0.017488012,0.4261438250541687
79872,39,383,-4.106712,208,-37.82433366775513,-0.012409599994134624,0.076806640625,0.00025,65.76126861572266,0.2,1.036830186843872,104.96229124069214,380,0.008653158,0.21727585792541504
81920,40,392,1.6584933,208,-37.82740166187286,-0.00807157434464898,0.05927734375,0.00025,70.31935119628906,0.2,1.0368098020553589,158.03550419807434,390,0.008430573,0.10172253847122192
83968,41,401,0.15923238,209,-37.83548219203949,-0.01507577500597108,0.0955078125,0.00025,9.376811027526855,0.2,1.0374791622161865,31.7814989566803,400,0.009467825,0.502769947052002
86016,42,410,-3.5887153,209,-37.8485520362854,-0.012266265701327939,0.075,0.00025,116.2502670288086,0.2,1.0377930402755737,158.84210324287415,410,0.009441872,0.2872755527496338
88064,43,419,-3.7786648,209,-37.859016633033754,-0.010223941010190174,0.126416015625,0.00025,14.340164184570312,0.2,1.0384324789047241,33.90245779752731,420,0.012745261,0.1745026707649231
90112,44,428,-3.0536723,210,-37.87555251121521,-0.00903518255945528,0.04345703125,0.00025,137.34857177734375,0.2,1.0390129089355469,173.70804524421692,430,0.007969986,0.11523449420928955
92160,45,437,2.331303,210,-37.88936624526978,-0.011128171991731505,0.06298828125,0.00025,89.25269317626953,0.2,1.0395852327346802,200.84191608428955,440,0.0099656675,0.13898992538452148
94208,46,446,0.25437823,210,-37.917902326583864,-0.013839605703833514,0.169580078125,0.00025,15.039928436279297,0.2,1.0414412021636963,38.000241577625275,450,0.01709833,0.43113964796066284
96256,47,455,4.754219,211,-37.95024020671845,-0.002393220097292215,0.1919921875,0.00025,105.99484252929688,0.2,1.041650414466858,266.6353811740875,460,0.046599474,0.14341390132904053
