train/entropy_loss,train/learning_rate,time/time_elapsed,train/std,train/policy_loss,train/n_updates,train/value_loss,time/fps,time/total_timesteps,time/iterations,train/reward,train/explained_variance
-37.68586730957031,0.0007,229,1.031803846359253,81.43913269042969,5599,7.780041694641113,121,28000,5600,1.3452048,0.0
-37.735450744628906,0.0007,233,1.0341827869415283,-18.907970428466797,5699,0.5068559050559998,122,28500,5700,-1.361921,0.0
-37.72526168823242,0.0007,236,1.0337096452713013,236.680908203125,5799,40.31897735595703,122,29000,5800,4.790905,0.02654355764389038
-37.764923095703125,0.0007,240,1.035433053970337,445.1529235839844,5899,150.77798461914062,122,29500,5900,0.98643404,0.0
-37.718544006347656,0.0007,244,1.033295750617981,-122.0723648071289,5999,35.311546325683594,122,30000,6000,2.4798443,0.0
-37.70623016357422,0.0007,248,1.0326621532440186,-40.90027618408203,6099,1.261830449104309,122,30500,6100,0.3837009,-1.1920928955078125e-07
-37.76519775390625,0.0007,252,1.0352154970169067,-4.510066986083984,6199,2.3118059635162354,123,31000,6200,0.10576646,0.0
-37.67394256591797,0.0007,255,1.031793475151062,-24.460067749023438,6299,5.575035095214844,123,31500,6300,0.60807073,0.0
-37.71074295043945,0.0007,259,1.0332893133163452,-134.95277404785156,6399,16.141786575317383,123,32000,6400,-0.83359915,0.0
-37.6975212097168,0.0007,263,1.0328058004379272,4.882136344909668,6499,5.368669033050537,123,32500,6500,0.6168413,0.0
-37.705963134765625,0.0007,266,1.0329108238220215,86.23600006103516,6599,13.351266860961914,123,33000,6600,0.90964097,-0.015751957893371582
-37.674591064453125,0.0007,270,1.0315762758255005,-551.6873168945312,6699,245.8230743408203,123,33500,6700,-6.989999,1.1920928955078125e-07
-37.66240692138672,0.0007,274,1.0315375328063965,-36.34061050415039,6799,5.058659553527832,123,34000,6800,2.8933837,5.960464477539063e-08
-37.68476486206055,0.0007,278,1.032351016998291,2.4830384254455566,6899,0.6691397428512573,124,34500,6900,0.94056,-1.1920928955078125e-07
-37.744754791259766,0.0007,281,1.0345537662506104,117.3941650390625,6999,10.956072807312012,124,35000,7000,-3.0096698,0.0
-37.732017517089844,0.0007,285,1.033859372138977,254.1453399658203,7099,103.2047119140625,124,35500,7100,-2.7819731,0.0
-37.75070571899414,0.0007,289,1.0345686674118042,352.3466491699219,7199,166.27218627929688,124,36000,7200,0.2513615,0.0
-37.744667053222656,0.0007,293,1.0341753959655762,-70.50450897216797,7299,29.213008880615234,124,36500,7300,13.407236,-2.384185791015625e-07
-37.78175354003906,0.0007,296,1.0358574390411377,70.93536376953125,7399,5.1244587898254395,124,37000,7400,-0.8915368,0.0
-37.82990264892578,0.0007,300,1.0377004146575928,82.3238296508789,7499,7.999051570892334,124,37500,7500,2.5060546,0.0
-37.8105354309082,0.0007,304,1.0368218421936035,14.389266967773438,7599,0.2208292931318283,124,38000,7600,-0.67223865,0.0
-37.82763671875,0.0007,307,1.0375040769577026,83.4782943725586,7699,10.248870849609375,125,38500,7700,-0.26488605,-1.1920928955078125e-07
-37.822330474853516,0.0007,311,1.0375269651412964,-66.87164306640625,7799,6.075890064239502,125,39000,7800,3.45778,0.0
-37.83657455444336,0.0007,315,1.03793466091156,204.20033264160156,7899,69.65184020996094,125,39500,7900,-0.19696632,0.0
