train/reward,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/clip_range,train/value_loss,train/std,train/learning_rate,train/approx_kl,train/entropy_loss,train/n_updates
1.1573464,187,61440,30,327,-0.022006570248049685,0.196533203125,2.5837364196777344,0.25994306802749634,0.2,4.6220222726464275,1.0473544597625732,0.00025,0.018305022,-45.394905757904056,290
1.1904933,187,63488,31,337,-0.01861102175025735,0.2529296875,1.981321096420288,0.5845084488391876,0.2,3.706877925992012,1.048444390296936,0.00025,0.027383205,-45.42221784591675,300
-0.17051272,188,65536,32,348,-0.00748603985121008,0.1294921875,13.339372634887695,0.01029127836227417,0.2,24.225110268592836,1.0488156080245972,0.00025,0.013547704,-45.448264718055725,310
1.106852,187,67584,33,359,-0.017405892655369827,0.23486328125,3.19960618019104,0.2165207862854004,0.2,7.024797327816486,1.0498045682907104,0.00025,0.023370724,-45.466488409042356,320
12.260729,188,69632,34,370,-0.02171031243633479,0.3771484375,0.3806051015853882,0.6814717948436737,0.2,1.913040828704834,1.0560799837112427,0.00025,0.045880184,-45.578987860679625,330
-0.28286496,188,71680,35,381,-0.01017820599663537,0.2171875,2.962585210800171,0.22584092617034912,0.2,11.077540186047553,1.0571664571762085,0.00025,0.017208856,-45.68670036792755,340
-0.066267624,188,73728,36,391,-0.006103352042555343,0.230419921875,2.8073511123657227,0.20400077104568481,0.2,8.787860184907913,1.058605670928955,0.00025,0.026947208,-45.721042561531064,350
0.44110847,187,75776,37,403,-0.012980850369785912,0.34892578125,1.1367626190185547,0.4430665969848633,0.2,2.781583072245121,1.0625258684158325,0.00025,0.03353429,-45.80054357051849,360
-1.7309749,187,77824,38,414,-0.011781544599216431,0.156689453125,2.2997093200683594,0.32867300510406494,0.2,6.042871414124965,1.0632123947143555,0.00025,0.016220184,-45.87039368152618,370
-1.9376798,188,79872,39,424,-0.010268125163565855,0.1646484375,5.4177680015563965,0.26513588428497314,0.2,15.799291735887527,1.0639945268630981,0.00025,0.018991882,-45.88650853633881,380
2.9466689,188,81920,40,434,-0.007035030909173656,0.199072265625,12.149271011352539,0.0207061767578125,0.2,25.207116854190826,1.0656051635742188,0.00025,0.016664514,-45.92325263023376,390
0.16244803,188,83968,41,445,-0.01130747853894718,0.115478515625,8.545638084411621,0.1226838231086731,0.2,19.166245913505556,1.0664383172988892,0.00025,0.012179449,-45.957315826416014,400
-0.45787412,188,86016,42,455,-0.004761713789775968,0.214208984375,14.1143217086792,0.17621493339538574,0.2,18.5658256649971,1.0675101280212402,0.00025,0.02053766,-45.97838978767395,410
1.6775918,189,88064,43,465,-0.012473324565507937,0.18134765625,2.9465224742889404,0.1401391625404358,0.2,7.897539642453194,1.068436622619629,0.00025,0.018038278,-46.01575770378113,420
-3.4646118,189,90112,44,475,-0.00883506215759553,0.158056640625,8.236896514892578,0.04463678598403931,0.2,29.009497272968293,1.0690008401870728,0.00025,0.013889477,-46.035506057739255,430
1.6444,189,92160,45,485,-0.00779576227942016,0.22734375,6.181905269622803,0.12128245830535889,0.2,17.041853666305542,1.0700961351394653,0.00025,0.016007513,-46.05596580505371,440
0.3590415,189,94208,46,496,-0.02092058819398517,0.2,3.0095152854919434,0.3109428286552429,0.2,12.04294494688511,1.0711007118225098,0.00025,0.018496506,-46.08904073238373,450
0.24426505,189,96256,47,506,-0.011249942386348267,0.185595703125,10.544783592224121,0.1861323118209839,0.2,21.890776467323303,1.0727288722991943,0.00025,0.012337966,-46.12846541404724,460
0.56897235,190,98304,48,516,-0.023754243046278135,0.367724609375,1.1712150573730469,0.6696552634239197,0.2,3.4312353037297725,1.0749338865280151,0.00025,0.041563626,-46.182255840301515,470
-5.535887,190,100352,49,527,-0.019501982658402993,0.308642578125,0.2607124447822571,0.8076791018247604,0.2,2.341833788156509,1.0771583318710327,0.00025,0.03475654,-46.25189552307129,480
0.6368731,190,102400,50,537,-0.006372774436022155,0.15986328125,12.086451530456543,0.14698117971420288,0.2,28.103751599788666,1.0780540704727173,0.00025,0.015540714,-46.2863273859024,490
-0.010349437,190,104448,51,547,-0.015841231636295562,0.138818359375,4.087618350982666,0.2712521553039551,0.2,11.712013757228851,1.079186201095581,0.00025,0.014899539,-46.31964094638825,500
-1.3770522,191,106496,52,557,-0.001547045647748746,0.244580078125,31.86961555480957,0.056182026863098145,0.2,46.47179737091064,1.08070969581604,0.00025,0.04732544,-46.354714798927304,510
1.5272413,191,108544,53,567,-0.006821125681744889,0.31328125,1.7944473028182983,0.648195892572403,0.2,6.089130879938603,1.0818731784820557,0.00025,0.033030756,-46.39661867618561,520
0.30192545,191,110592,54,577,-0.01963111858058255,0.33427734375,1.5234277248382568,0.5148330330848694,0.2,5.4091956615448,1.0835810899734497,0.00025,0.034503456,-46.437074995040895,530
0.6602981,191,112640,55,587,-0.013262012641644106,0.391796875,2.052838087081909,0.2761867642402649,0.2,5.075167047977447,1.0866116285324097,0.00025,0.04235407,-46.50105712413788,540
