train/reward,time/total_timesteps,time/iterations,train/value_loss,train/std,train/policy_loss,time/fps,train/learning_rate,time/time_elapsed,train/entropy_loss,train/n_updates,train/explained_variance
0.80167776,23500,4700,1.2170127630233765,1.0308647155761719,-47.379940032958984,108,0.0007,217,-44.89604568481445,4699,0.0
0.59778845,24000,4800,1.6185190677642822,1.0307643413543701,45.851993560791016,108,0.0007,221,-44.88728332519531,4799,0.0
0.93902385,24500,4900,15.426569938659668,1.0297931432724,-148.93309020996094,108,0.0007,226,-44.854164123535156,4899,0.0
-0.07167072,25000,5000,1.4225938320159912,1.0314809083938599,-34.052589416503906,108,0.0007,230,-44.90340805053711,4999,1.1920928955078125e-07
-0.72122794,25500,5100,13.39100456237793,1.033635139465332,153.2173614501953,108,0.0007,235,-44.9685173034668,5099,-0.17408263683319092
0.14984864,26000,5200,16.01552963256836,1.0321640968322754,108.5200424194336,108,0.0007,239,-44.92721176147461,5199,1.1920928955078125e-07
-7.3316517,26500,5300,354.4747619628906,1.0335650444030762,-754.53857421875,108,0.0007,244,-44.958255767822266,5299,0.0
0.96350414,27000,5400,2.1551246643066406,1.0371291637420654,34.300254821777344,108,0.0007,248,-45.05800247192383,5399,0.14261800050735474
-0.064038485,27500,5500,3.3627936840057373,1.0367830991744995,-76.74436950683594,108,0.0007,253,-45.05091094970703,5499,-0.1387869119644165
0.9564586,28000,5600,5.119261741638184,1.0362578630447388,41.9346923828125,108,0.0007,257,-45.03690719604492,5599,-1.1920928955078125e-07
-0.32931924,28500,5700,0.5295029878616333,1.0350935459136963,28.19094467163086,108,0.0007,262,-45.00590515136719,5699,5.960464477539063e-08
5.2205667,29000,5800,21.165714263916016,1.0374327898025513,196.9021759033203,108,0.0007,266,-45.067142486572266,5799,0.0
7.0356884,29500,5900,37.10285949707031,1.0379103422164917,78.69805908203125,108,0.0007,271,-45.08036422729492,5899,0.0
0.09437739,30000,6000,69.4336929321289,1.0369027853012085,-196.7882080078125,108,0.0007,275,-45.047916412353516,5999,0.0
-0.40883505,30500,6100,0.1314692199230194,1.0393025875091553,10.208019256591797,108,0.0007,280,-45.11711883544922,6099,0.0
0.3210395,31000,6200,2.653068780899048,1.0394973754882812,-64.61674499511719,108,0.0007,284,-45.12222671508789,6199,0.0
