train/reward,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/std,train/learning_rate,train/loss,train/n_updates,train/clip_range
0.49744177,61440,30,166,369,0.5459976196289062,-40.84946584701538,-0.017318543361034243,0.019470993,5.294974830746651,0.207666015625,1.0419223308563232,0.00025,2.3711750507354736,290,0.2
0.24380709,63488,31,165,382,0.7753289937973022,-40.89448115825653,-0.0221332885324955,0.028194256,2.8035320304334164,0.274462890625,1.043538212776184,0.00025,0.6512856483459473,300,0.2
-0.240821,65536,32,165,395,0.5247544348239899,-40.94110453128815,-0.011675412429030984,0.014509754,6.77704481780529,0.169091796875,1.0452146530151367,0.00025,3.137040853500366,310,0.2
0.8777241,67584,33,165,409,0.508328378200531,-40.973520851135255,-0.019462556403595954,0.01945368,4.751864166557789,0.218212890625,1.0462921857833862,0.00025,1.3948819637298584,320,0.2
5.9159966,69632,34,165,421,0.4419237971305847,-41.010540461540224,-0.015709039755165577,0.016342692,8.311825978755952,0.186767578125,1.047507405281067,0.00025,2.2128190994262695,330,0.2
-0.6015398,71680,35,164,434,0.640436053276062,-41.04160730838775,-0.019080169580411165,0.017282717,5.913403211534023,0.170654296875,1.0489916801452637,0.00025,2.1228890419006348,340,0.2
-0.57206154,73728,36,164,447,0.7903538942337036,-41.086779379844664,-0.018800342263421043,0.03283129,4.082004450261593,0.313623046875,1.0504662990570068,0.00025,1.1518689393997192,350,0.2
0.32665232,75776,37,164,459,0.5246799290180206,-41.10487093925476,-0.012928410193126183,0.021410843,6.670401883125305,0.241015625,1.0506256818771362,0.00025,2.5077826976776123,360,0.2
-1.6255621,77824,38,164,472,0.44209665060043335,-41.10825350284576,-0.023201686385436914,0.02851438,3.926032027602196,0.23984375,1.0505884885787964,0.00025,1.8754124641418457,370,0.2
-0.9225083,79872,39,164,485,0.6644889414310455,-41.10859036445618,-0.022907146453508175,0.0339152,4.5102103590965275,0.314599609375,1.0512840747833252,0.00025,1.4560186862945557,380,0.2
2.6645718,81920,40,164,497,0.4389907121658325,-41.14341027736664,-0.015139661962166429,0.01933227,6.739828677475453,0.193505859375,1.052801251411438,0.00025,3.678290843963623,390,0.2
-0.11478465,83968,41,164,510,0.6269897520542145,-41.17556715011597,-0.013666042196564376,0.03260147,5.683097051084042,0.309619140625,1.0540382862091064,0.00025,2.2841193675994873,400,0.2
0.18201613,86016,42,164,522,0.3520691990852356,-41.22059874534607,-0.01357466820627451,0.01774263,6.938348889350891,0.245263671875,1.0557891130447388,0.00025,2.0874993801116943,410,0.2
0.9980149,88064,43,164,535,0.6288263499736786,-41.260357570648196,-0.024586951767560095,0.018307358,4.120320723950863,0.199658203125,1.0571855306625366,0.00025,1.317255973815918,420,0.2
-0.36486486,90112,44,164,548,0.8215081840753555,-41.302301621437074,-0.01561452158348402,0.034963854,3.613935625553131,0.34736328125,1.0587542057037354,0.00025,1.7138574123382568,430,0.2
1.5484989,92160,45,164,561,0.23321294784545898,-41.342920780181885,-0.008360796479973943,0.019836769,9.845531740784645,0.212158203125,1.0603806972503662,0.00025,2.5760276317596436,440,0.2
0.5004495,94208,46,164,574,0.6588567793369293,-41.39132816791535,-0.016919079926447013,0.029935839,6.3647991746664045,0.32080078125,1.0624130964279175,0.00025,2.331723928451538,450,0.2
1.9116391,96256,47,163,587,0.28930771350860596,-41.444898915290835,-0.009901112140505574,0.030033702,13.923274087905884,0.25283203125,1.0647287368774414,0.00025,7.92232608795166,460,0.2
0.92030233,98304,48,163,600,0.3555017113685608,-41.50134902000427,-0.009910032883635723,0.023601264,7.132667800784111,0.231689453125,1.0665775537490845,0.00025,2.6232666969299316,470,0.2
-7.427361,100352,49,163,613,0.3824882507324219,-41.5486989736557,-0.008195581127074547,0.021322772,15.928005576133728,0.17802734375,1.0681440830230713,0.00025,6.631742477416992,480,0.2
-0.32940778,102400,50,163,625,0.26095253229141235,-41.57346408367157,-0.01069975002319552,0.018261801,17.577339392900466,0.139892578125,1.0685020685195923,0.00025,5.85380744934082,490,0.2
-0.010543917,104448,51,163,638,0.33811140060424805,-41.59848382472992,-0.012298005149932578,0.027007684,8.776680152118207,0.26494140625,1.0705422163009644,0.00025,3.570368766784668,500,0.2
0.10870223,106496,52,163,651,0.39550870656967163,-41.64170050621033,-0.013564576805219986,0.023222785,12.979137200117112,0.22080078125,1.0713074207305908,0.00025,6.663381576538086,510,0.2
2.315759,108544,53,163,664,0.44105207920074463,-41.67610023021698,-0.015041217010002583,0.023708794,6.0991151705384254,0.246728515625,1.0731205940246582,0.00025,2.481109142303467,520,0.2
2.6017058,110592,54,163,677,0.5905275940895081,-41.755239033699034,-0.0045905385894002395,0.034776628,11.539976373314857,0.33251953125,1.0774537324905396,0.00025,5.62125301361084,530,0.2
-0.040760912,112640,55,163,690,0.26276952028274536,-41.819315910339355,-0.008421135286334902,0.018770166,29.709170961380003,0.20458984375,1.07780122756958,0.00025,12.360501289367676,540,0.2
-0.40073815,114688,56,163,702,0.3225511312484741,-41.8477719783783,-0.016019111176137812,0.041904025,3.752935940027237,0.3734375,1.0809850692749023,0.00025,1.0273879766464233,550,0.2
2.1134331,116736,57,163,715,0.5909532010555267,-41.90409326553345,-0.012687275698408485,0.038252022,7.118616685271263,0.33486328125,1.080916404724121,0.00025,2.9758827686309814,560,0.2
3.3433056,118784,58,163,728,0.24219638109207153,-41.9145651102066,-0.0006582821079064161,0.024974402,21.076594471931458,0.28662109375,1.082267165184021,0.00025,7.963580131530762,570,0.2
-0.5042359,120832,59,163,740,0.06387454271316528,-41.94623630046844,-0.010609482819563709,0.022450255,25.700838732719422,0.21513671875,1.0831995010375977,0.00025,16.969806671142578,580,0.2
-0.06250554,122880,60,163,753,0.16664499044418335,-41.9633455991745,-0.0041493561264360325,0.023455523,41.804634273052216,0.215478515625,1.0838509798049927,0.00025,22.35485076904297,590,0.2
-1.2550977,124928,61,163,766,0.27903515100479126,-41.99328298568726,-0.009254297000006772,0.018697828,9.177065601944923,0.232861328125,1.0852584838867188,0.00025,3.9484803676605225,600,0.2
2.0013213,126976,62,162,779,0.1672859787940979,-42.033665370941165,-0.004502872370358091,0.016376115,23.385742563009263,0.210302734375,1.0867602825164795,0.00025,11.677393913269043,610,0.2
-0.59009105,129024,63,162,792,0.24913018941879272,-42.05245513916016,-0.013151536897930782,0.01634892,29.78550900220871,0.183203125,1.0871654748916626,0.00025,11.036561012268066,620,0.2
