time/total_timesteps,time/iterations,train/explained_variance,train/learning_rate,train/policy_loss,train/std,time/time_elapsed,train/entropy_loss,train/n_updates,train/reward,time/fps,train/value_loss
31500,6300,0.0,0.0007,-18.733179092407227,1.0284721851348877,350,-40.453025817871094,6299,0.9298633,89,5.569659233093262
32000,6400,1.1920928955078125e-07,0.0007,-99.10218811035156,1.0272220373153687,354,-40.41736602783203,6399,-1.6458329,90,15.496469497680664
32500,6500,0.005932033061981201,0.0007,235.3291778564453,1.027392864227295,358,-40.42010498046875,6499,2.2274528,90,33.404136657714844
33000,6600,0.0,0.0007,1028.102783203125,1.0273849964141846,362,-40.41642379760742,6599,-7.909399,90,687.8971557617188
33500,6700,0.0,0.0007,-980.1727294921875,1.027975082397461,366,-40.431358337402344,6699,-5.66136,91,696.6746826171875
34000,6800,-0.24783551692962646,0.0007,-19.95083236694336,1.0266057252883911,371,-40.395179748535156,6799,3.1568785,91,5.5196967124938965
34500,6900,0.0,0.0007,-14.289082527160645,1.024416208267212,375,-40.326988220214844,6899,3.1584487,91,0.5423265695571899
35000,7000,-1.1920928955078125e-07,0.0007,258.14739990234375,1.026835322380066,379,-40.40357971191406,6999,-3.3189847,92,46.30710983276367
35500,7100,0.0,0.0007,-171.88478088378906,1.0262137651443481,383,-40.39273452758789,7099,4.7753634,92,23.779823303222656
36000,7200,1.1920928955078125e-07,0.0007,62.41701126098633,1.0257526636123657,387,-40.379905700683594,7199,5.025276,92,3.8653793334960938
36500,7300,0.0,0.0007,-379.3044738769531,1.0236207246780396,391,-40.31007385253906,7299,7.551712,93,138.1175079345703
37000,7400,-3.0514259338378906,0.0007,32.64712905883789,1.0232630968093872,395,-40.309146881103516,7399,-1.5455767,93,4.048566818237305
37500,7500,0.47178322076797485,0.0007,51.18048095703125,1.026049017906189,399,-40.37761306762695,7499,1.392482,93,2.0973334312438965
38000,7600,1.1920928955078125e-07,0.0007,42.031612396240234,1.0271368026733398,403,-40.41047668457031,7599,-1.4010999,94,1.151235818862915
38500,7700,0.0,0.0007,90.61505889892578,1.0262821912765503,407,-40.382835388183594,7699,-0.55530745,94,8.993943214416504
39000,7800,0.0,0.0007,-23.629573822021484,1.0265446901321411,412,-40.394893646240234,7799,3.5192516,94,0.8467558026313782
39500,7900,0.0,0.0007,516.7955322265625,1.0284453630447388,416,-40.44948959350586,7899,-4.2301707,94,212.96591186523438
40000,8000,-0.013423323631286621,0.0007,-175.55348205566406,1.0322751998901367,420,-40.55251693725586,7999,1.5919702,95,102.94447326660156
40500,8100,-62.25912857055664,0.0007,0.18445587158203125,1.0314472913742065,424,-40.52790451049805,8099,-0.31282791,95,1.0832375288009644
41000,8200,0.0,0.0007,-0.45402607321739197,1.0308854579925537,428,-40.51357650756836,8199,0.090225406,95,0.010288777761161327
41500,8300,0.295346200466156,0.0007,-187.46359252929688,1.0320217609405518,432,-40.548545837402344,8299,-1.8667196,95,21.421733856201172
42000,8400,0.0,0.0007,-71.7900619506836,1.0322071313858032,436,-40.5538215637207,8399,-0.8937889,96,3.1489057540893555
42500,8500,0.0,0.0007,-874.6891479492188,1.0367134809494019,440,-40.668426513671875,8499,0.41470334,96,554.3790893554688
43000,8600,5.960464477539063e-08,0.0007,253.31948852539062,1.0349876880645752,445,-40.62624740600586,8599,2.967909,96,53.33544921875
43500,8700,0.0,0.0007,743.0794677734375,1.0332382917404175,449,-40.58419418334961,8699,5.280328,96,433.83734130859375
44000,8800,-0.00031304359436035156,0.0007,32.729164123535156,1.0347435474395752,453,-40.60844421386719,8799,-0.714112,97,8.4830904006958
44500,8900,0.0,0.0007,-35.605918884277344,1.0354576110839844,457,-40.64167404174805,8899,-0.23243424,97,1.2613446712493896
45000,9000,1.1920928955078125e-07,0.0007,-105.6151351928711,1.0366928577423096,461,-40.68141555786133,8999,-0.44989944,97,6.404819488525391
45500,9100,0.0,0.0007,-12.307092666625977,1.0385974645614624,465,-40.73527145385742,9099,-0.19354007,97,0.279124915599823
46000,9200,0.0,0.0007,101.34852600097656,1.037948727607727,469,-40.71010971069336,9199,-2.2043684,97,11.792332649230957
46500,9300,0.0,0.0007,38.38889694213867,1.0393275022506714,473,-40.74383544921875,9299,-1.0026774,98,44.21314239501953
47000,9400,-0.9295402765274048,0.0007,-34.823429107666016,1.0396173000335693,477,-40.74991989135742,9399,0.51960075,98,1.038178563117981
47500,9500,0.7493273913860321,0.0007,-21.147846221923828,1.0391936302185059,482,-40.73967361450195,9499,-0.4994052,98,0.5610005259513855
48000,9600,5.960464477539063e-08,0.0007,36.08585739135742,1.040114402770996,486,-40.765071868896484,9599,-0.8529924,98,0.833136260509491
48500,9700,0.0,0.0007,-43.355491638183594,1.040359377861023,490,-40.76929473876953,9699,0.667412,98,2.688666343688965
49000,9800,0.01611506938934326,0.0007,-186.02984619140625,1.0431808233261108,494,-40.83978271484375,9799,2.4111512,99,27.706573486328125
49500,9900,-0.010796904563903809,0.0007,-878.1296997070312,1.0430086851119995,498,-40.82905960083008,9899,15.8965645,99,742.7884521484375
50000,10000,7.152557373046875e-07,0.0007,-332.54949951171875,1.0432318449020386,502,-40.83567428588867,9999,10.203064,99,126.32762145996094
